adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
False,/tYuC9kUwqhpDQ3pv1kLMqyMF1Jw.jpg,"[12, 28, 14]",1368337,The Odyssey,en,The Odyssey,"Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.",1036.952,/5rhTDKUhPYvpdQIijFIs5VoWsON.jpg,2026-07-17,False,False,7.9,1059
False,/mMkJq4dkQwfDieB9wRC9yPxDWv9.jpg,"[10751, 14, 35, 12]",1108427,Moana,en,Moana,"Teenage Moana answers the Ocean's call and, for the first time, voyages beyond the reef of her island of Motunui with infamous demigod Maui on an unforgettable journey to restore prosperity to her people.",619.8748,/zKVgiv5qHCvCLT4A2ymJi5QeXDH.jpg,2026-07-08,False,False,5.778,135
False,/8CIgg0gCHIYz0jrx5IcZEOy047J.jpg,"[28, 12, 878]",1081003,Supergirl,en,Supergirl,"When an unexpected and ruthless adversary strikes too close to home, Kara Zor-El, aka Supergirl, reluctantly joins forces with an unlikely companion on an epic, interstellar journey of vengeance and justice.",392.937,/niSvU02l2BONH9ivubV6K1a5QiK.jpg,2026-06-24,False,False,6.148,512
False,/kkcwhgSFd81QDlXo8ytrpHPQjhy.jpg,"[12, 16, 35, 10751, 14]",1315772,Minions & Monsters,en,Minions & Monsters,"This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created.",374.0304,/nz7i42yhLIJ4ve9JKgM6NthoLHO.jpg,2026-06-30,False,False,6.374,215
False,/qjTqY5coNiz6sVtPng40IzltsoN.jpg,"[16, 10751, 35, 12]",1084244,Toy Story 5,en,Toy Story 5,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.",372.2682,/sfQtVlIHljToOwYjhe21KPGzZWK.jpg,2026-06-17,False,False,7.419,680
False,/3pDfu71mrzSuFYyIfnKEjt8z4BC.jpg,"[27, 53]",1368314,Passenger,en,Passenger,"After a young couple witnesses a gruesome highway accident, they soon realize they did not leave the crash scene alone, as a demonic presence called the Passenger that won't stop until it claims them both turns their van life adventure into a nightmare.",157.7819,/2sOEJzhPzjTkZSlPbGxOJ7xgIyS.jpg,2026-06-18,False,False,7.272,534
False,/vjMvFSmGUxEtqVdaZgvFee9XkZl.jpg,"[878, 28, 12]",969681,Spider-Man: Brand New Day,en,Spider-Man: Brand New Day,Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,156.3287,/6Q21yptoOCUq4ErwVncesLPVplb.jpg,2026-07-29,False,False,0.0,0
False,/A5Tz6ogGt4VV8NESG9oWVct5bo1.jpg,"[27, 53]",1212763,Evil Dead Burn,en,Evil Dead Burn,"After her husband's abrupt death, Alice seeks solace with his remaining family — descendants of a leading researcher on demonic possession. As her in-laws transform one by one into creatures that feed on fear, she comes to discover that the vows she took in life survive even in death.",64.7557,/ztadKzIIR0ERYqpHteaPFtk7inP.jpg,2026-07-08,False,False,6.8,186
False,/qY7zVZ7liULhfRoXg4c9Xl83LcR.jpg,[27],1430077,Hokum,en,Hokum,"When novelist Ohm Bauman retreats to a remote inn to scatter his parents' ashes, he is consumed by tales of a witch haunting the honeymoon suite. Disturbing visions and a shocking disappearance forces him to confront dark corners of his past.",30.1559,/x6rHcQFiYcczLQPrmxXPAicm54E.jpg,2026-06-17,False,False,6.928,577
False,/zT5S4GNs8Eu2gIkGORoN6yC1uE2.jpg,"[16, 28, 9648, 80]",1545621,Detective Conan: Fallen Angel of the Highway,ja,名探偵コナン ハイウェイの堕天使,"When a string of deadly highway incidents begin, Conan Edogawa's investigations point towards an orchestrated plot rather than mere accidents. As he uncovers a conspiracy involving hidden identities and advanced technology, the case escalates into a high-speed race against time to stop a calculating mastermind before more lives are lost.",19.9868,/tqlOfb1ekyVYpDumiL9MsK6uirw.jpg,2026-06-24,False,False,7.846,13
